0 97.05 -7.658134716796875 35.606451988220215 0 {'batch_size': 512, 'epochs': 30, 'learning_rate_init': 0.01664672261412472, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 99.21 -8.792399609375 428.71099495887756 11 {'batch_size': 512, 'epochs': 30, 'learning_rate_init': 0.01664672261412472, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 99.21 -8.00405927734375 464.4558539390564 12 {'batch_size': 512, 'epochs': 30, 'learning_rate_init': 0.01664672261412472, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 98.51 -7.851303515625 500.2395086288452 13 {'batch_size': 512, 'epochs': 30, 'learning_rate_init': 0.01664672261412472, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 99.31 -8.66166845703125 536.1131176948547 14 {'batch_size': 512, 'epochs': 30, 'learning_rate_init': 0.01664672261412472, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 98.75 -8.48426181640625 571.9722464084625 15 {'batch_size': 512, 'epochs': 30, 'learning_rate_init': 0.01664672261412472, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 98.62 -7.960136474609375 607.8783528804779 16 {'batch_size': 512, 'epochs': 30, 'learning_rate_init': 0.01664672261412472, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 99.35 -8.243929296875 643.6514089107513 17 {'batch_size': 512, 'epochs': 30, 'learning_rate_init': 0.01664672261412472, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 99.34 -8.4316142578125 679.3785524368286 18 {'batch_size': 512, 'epochs': 30, 'learning_rate_init': 0.01664672261412472, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 99.13 -8.07041943359375 715.1233284473419 19 {'batch_size': 512, 'epochs': 30, 'learning_rate_init': 0.01664672261412472, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 99.32 -7.9953955078125 750.9912533760071 20 {'batch_size': 512, 'epochs': 30, 'learning_rate_init': 0.01664672261412472, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 98.62 -7.995311376953125 786.7866961956024 21 {'batch_size': 512, 'epochs': 30, 'learning_rate_init': 0.01664672261412472, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 98.18 -7.60501396484375 822.6927659511566 22 {'batch_size': 512, 'epochs': 30, 'learning_rate_init': 0.01664672261412472, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 99.41 -8.00098564453125 858.4537410736084 23 {'batch_size': 512, 'epochs': 30, 'learning_rate_init': 0.01664672261412472, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 99.5 -7.953310302734375 894.1793892383575 24 {'batch_size': 512, 'epochs': 30, 'learning_rate_init': 0.01664672261412472, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 98.67 -7.499862109375 930.0009150505066 25 {'batch_size': 512, 'epochs': 30, 'learning_rate_init': 0.01664672261412472, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 99.48 -7.633228271484375 965.8741686344147 26 {'batch_size': 512, 'epochs': 30, 'learning_rate_init': 0.01664672261412472, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 98.46 -7.55692373046875 1001.6668338775635 27 {'batch_size': 512, 'epochs': 30, 'learning_rate_init': 0.01664672261412472, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 99.4 -7.449452197265625 1037.4605889320374 28 {'batch_size': 512, 'epochs': 30, 'learning_rate_init': 0.01664672261412472, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
0 99.28 -7.3102630859375 1073.2003245353699 29 {'batch_size': 512, 'epochs': 30, 'learning_rate_init': 0.01664672261412472, 'momentum': 0.8579456176227568, 'weight_decay': 0.0024491024634012105}
1 15.83 -0.05232176399230957 37.5494647026062 0 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 15.86 -0.05295005493164062 75.10136985778809 1 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 15.96 -0.05307389373779297 112.65355944633484 2 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 16.18 -0.0531148323059082 150.20502734184265 3 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 15.96 -0.05353765754699707 187.76613473892212 4 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 16.34 -0.05382790031433105 225.3164999485016 5 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 16.18 -0.053867066192626954 262.87509989738464 6 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 16.41 -0.05448876075744629 300.4471836090088 7 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 16.46 -0.05515644340515137 338.02917981147766 8 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 16.7 -0.055182281494140624 375.639004945755 9 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 16.75 -0.05502245445251465 413.17279505729675 10 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 17.02 -0.055497571182250974 450.72180223464966 11 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 17.03 -0.05646196174621582 488.2762117385864 12 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 17.12 -0.056910233306884765 525.8140079975128 13 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 17.24 -0.05658646583557129 563.3601448535919 14 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 17.31 -0.05722894020080566 600.8906745910645 15 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 17.59 -0.057581810760498044 638.4459648132324 16 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 17.48 -0.05740172729492188 675.9965751171112 17 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 17.72 -0.057919137954711916 713.5298628807068 18 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 17.82 -0.057909823989868166 751.0848233699799 19 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 17.92 -0.057983133697509764 788.6723566055298 20 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 18.06 -0.05896085777282715 826.2562749385834 21 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 18.22 -0.05921752738952637 863.8008313179016 22 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 18.39 -0.059510720062255856 901.3356442451477 23 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 18.52 -0.059980510330200194 938.8830213546753 24 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 18.53 -0.060359936141967774 976.4257638454437 25 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 18.64 -0.06050297050476074 1014.0161991119385 26 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 18.64 -0.06118330421447754 1051.6164865493774 27 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 18.85 -0.06120407295227051 1089.148378610611 28 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 19.03 -0.0616915111541748 1126.7010729312897 29 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 19.21 -0.06154285850524902 1164.2350723743439 30 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 19.19 -0.06192603340148926 1201.7868962287903 31 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 19.2 -0.06258133583068848 1239.335654258728 32 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 19.52 -0.06262084693908691 1276.8580105304718 33 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 19.76 -0.06280201721191406 1314.399802684784 34 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 19.9 -0.06346709442138672 1351.9225492477417 35 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
1 19.92 -0.0638817813873291 1389.4640502929688 36 {'batch_size': 256, 'epochs': 37, 'learning_rate_init': 1.0013176560941263e-06, 'momentum': 0.30233257263183977, 'weight_decay': 3.863879405158735e-06}
2 98.5 -11.89391875 56.804383993148804 0 {'batch_size': 32, 'epochs': 10, 'learning_rate_init': 0.04546784063337935, 'momentum': 0.947730611527878, 'weight_decay': 8.689532004962215e-05}
2 98.16 -12.2831482421875 113.60766267776489 1 {'batch_size': 32, 'epochs': 10, 'learning_rate_init': 0.04546784063337935, 'momentum': 0.947730611527878, 'weight_decay': 8.689532004962215e-05}
2 98.99 -11.78754140625 170.42860102653503 2 {'batch_size': 32, 'epochs': 10, 'learning_rate_init': 0.04546784063337935, 'momentum': 0.947730611527878, 'weight_decay': 8.689532004962215e-05}
2 98.59 -11.6964306640625 227.21218848228455 3 {'batch_size': 32, 'epochs': 10, 'learning_rate_init': 0.04546784063337935, 'momentum': 0.947730611527878, 'weight_decay': 8.689532004962215e-05}
2 98.99 -12.3851787109375 283.9876275062561 4 {'batch_size': 32, 'epochs': 10, 'learning_rate_init': 0.04546784063337935, 'momentum': 0.947730611527878, 'weight_decay': 8.689532004962215e-05}
2 98.46 -12.285845703125 340.7711308002472 5 {'batch_size': 32, 'epochs': 10, 'learning_rate_init': 0.04546784063337935, 'momentum': 0.947730611527878, 'weight_decay': 8.689532004962215e-05}
2 99.13 -12.62047861328125 397.5905866622925 6 {'batch_size': 32, 'epochs': 10, 'learning_rate_init': 0.04546784063337935, 'momentum': 0.947730611527878, 'weight_decay': 8.689532004962215e-05}
2 98.31 -11.3504703125 454.37373447418213 7 {'batch_size': 32, 'epochs': 10, 'learning_rate_init': 0.04546784063337935, 'momentum': 0.947730611527878, 'weight_decay': 8.689532004962215e-05}
2 99.11 -11.9822435546875 511.1670262813568 8 {'batch_size': 32, 'epochs': 10, 'learning_rate_init': 0.04546784063337935, 'momentum': 0.947730611527878, 'weight_decay': 8.689532004962215e-05}
2 99.19 -12.38810771484375 567.9720296859741 9 {'batch_size': 32, 'epochs': 10, 'learning_rate_init': 0.04546784063337935, 'momentum': 0.947730611527878, 'weight_decay': 8.689532004962215e-05}
3 78.39 -6.0403583984375 42.26258850097656 0 {'batch_size': 128, 'epochs': 4, 'learning_rate_init': 0.015839636792271947, 'momentum': 0.12132858120521606, 'weight_decay': 0.0001893412804339247}
3 95.77 -7.692545751953125 84.52551031112671 1 {'batch_size': 128, 'epochs': 4, 'learning_rate_init': 0.015839636792271947, 'momentum': 0.12132858120521606, 'weight_decay': 0.0001893412804339247}
3 98.09 -10.13670732421875 126.80469036102295 2 {'batch_size': 128, 'epochs': 4, 'learning_rate_init': 0.015839636792271947, 'momentum': 0.12132858120521606, 'weight_decay': 0.0001893412804339247}
3 98.59 -8.77378935546875 169.08729720115662 3 {'batch_size': 128, 'epochs': 4, 'learning_rate_init': 0.015839636792271947, 'momentum': 0.12132858120521606, 'weight_decay': 0.0001893412804339247}
4 17.09 -0.12227167663574219 42.28485083580017 0 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 20.98 -0.15912360076904297 84.59332132339478 1 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 22.06 -0.2005362060546875 126.89452314376831 2 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 22.8 -0.25364196014404294 169.1913390159607 3 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 24.24 -0.3124250122070312 211.48935890197754 4 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 26.04 -0.37278929443359377 253.80527544021606 5 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 27.98 -0.4323915069580078 296.0960717201233 6 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 29.65 -0.49341380920410155 338.39113664627075 7 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 31.42 -0.5514870910644531 380.70878291130066 8 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 33.35 -0.6114301391601562 423.00106716156006 9 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 35.99 -0.6586100891113281 465.29296469688416 10 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 38.7 -0.7158864624023438 507.60715532302856 11 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 41.16 -0.7655100952148437 549.8974628448486 12 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 43.69 -0.8193710266113281 592.1879334449768 13 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 46.18 -0.8783599487304687 634.4775342941284 14 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 49.38 -0.918940771484375 676.7865037918091 15 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 51.1 -0.9744457397460937 719.0769658088684 16 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 53.64 -1.0221910827636718 761.3656153678894 17 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 55.69 -1.08252646484375 803.6733207702637 18 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 58.63 -1.12966181640625 845.9652278423309 19 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 59.75 -1.1892241821289062 888.257321357727 20 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 61.67 -1.2468113647460937 930.5708374977112 21 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 63.29 -1.313223583984375 972.8717474937439 22 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 65.12 -1.38869599609375 1015.1632211208344 23 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 66.78 -1.4593229614257812 1057.453551530838 24 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 68.41 -1.5304814697265625 1099.7641606330872 25 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 70.06 -1.6209077880859375 1142.0526373386383 26 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 71.61 -1.7238215454101562 1184.339299440384 27 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 73.26 -1.82055859375 1226.6475613117218 28 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 75.95 -1.9044260498046874 1268.9316217899323 29 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 76.88 -1.993258837890625 1311.2211191654205 30 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 79.11 -2.0926773071289064 1353.5214710235596 31 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 80.76 -2.189747802734375 1395.8096132278442 32 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 81.64 -2.2826921875 1438.10072016716 33 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 83.54 -2.3989906982421876 1480.403804063797 34 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 85.25 -2.477499072265625 1522.691211938858 35 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 86.24 -2.590215283203125 1564.9776754379272 36 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 87.75 -2.659075 1607.264419078827 37 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 88.38 -2.7997406494140624 1649.5667674541473 38 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 88.84 -2.85270458984375 1691.8519124984741 39 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 89.84 -2.940107763671875 1734.1375043392181 40 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 90.44 -3.0286148193359375 1776.4399387836456 41 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 90.97 -3.128385400390625 1818.7189402580261 42 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 91.5 -3.2141667236328124 1861.0053129196167 43 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 91.98 -3.266930517578125 1903.3025467395782 44 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
4 92.34 -3.34720517578125 1945.5903182029724 45 {'batch_size': 128, 'epochs': 46, 'learning_rate_init': 7.302585582149574e-06, 'momentum': 0.8556209483356475, 'weight_decay': 0.00027298727653650624}
5 86.68 -6.435640283203125 37.509047746658325 0 {'batch_size': 256, 'epochs': 3, 'learning_rate_init': 0.01434297276884395, 'momentum': 0.36373689710058943, 'weight_decay': 0.00827522853930544}
5 98.65 -7.132095751953125 75.02027773857117 1 {'batch_size': 256, 'epochs': 3, 'learning_rate_init': 0.01434297276884395, 'momentum': 0.36373689710058943, 'weight_decay': 0.00827522853930544}
5 98.02 -6.741564990234375 112.54849791526794 2 {'batch_size': 256, 'epochs': 3, 'learning_rate_init': 0.01434297276884395, 'momentum': 0.36373689710058943, 'weight_decay': 0.00827522853930544}
6 13.02 -0.018618634176254274 42.26595425605774 0 {'batch_size': 128, 'epochs': 48, 'learning_rate_init': 1.114376218805708e-05, 'momentum': 0.06425460459065901, 'weight_decay': 3.0229962593400186e-05}
6 14.31 -0.024774008226394653 84.53536820411682 1 {'batch_size': 128, 'epochs': 48, 'learning_rate_init': 1.114376218805708e-05, 'momentum': 0.06425460459065901, 'weight_decay': 3.0229962593400186e-05}
6 15.44 -0.03200993785858154 126.82323908805847 2 {'batch_size': 128, 'epochs': 48, 'learning_rate_init': 1.114376218805708e-05, 'momentum': 0.06425460459065901, 'weight_decay': 3.0229962593400186e-05}
6 16.71 -0.038596825408935546 169.1059169769287 3 {'batch_size': 128, 'epochs': 48, 'learning_rate_init': 1.114376218805708e-05, 'momentum': 0.06425460459065901, 'weight_decay': 3.0229962593400186e-05}
6 17.87 -0.04526636543273926 211.3901448249817 4 {'batch_size': 128, 'epochs': 48, 'learning_rate_init': 1.114376218805708e-05, 'momentum': 0.06425460459065901, 'weight_decay': 3.0229962593400186e-05}
