0 92.89 -8.934718359375 2278.4629778862 {'batch_size': 32, 'epochs': 43, 'learning_rate': 0.019486241836466356, 'momentum': 0.8472517387841254, 'shuffle': False, 'weight_decay': 0.0003833332156156665}
13 10.0 -1.300811767578125e-07 6184.013421058655 {'batch_size': 4, 'epochs': 31, 'learning_rate': 0.01982303161905548, 'momentum': 0.8929826912712245, 'shuffle': False, 'weight_decay': 0.007769703672346073}
14 92.05 -10.7264005859375 1340.1144471168518 {'batch_size': 256, 'epochs': 39, 'learning_rate': 0.02249771592052683, 'momentum': 0.00804694852981791, 'shuffle': True, 'weight_decay': 6.384737216385929e-06}
15 87.31 -6.933515576171875 1408.4667339324951 {'batch_size': 256, 'epochs': 41, 'learning_rate': 0.0009052634411714516, 'momentum': 0.11098632485820681, 'shuffle': False, 'weight_decay': 1.2635828256237819e-05}
16 11.38 0.046894571304321286 552.7209167480469 {'batch_size': 512, 'epochs': 17, 'learning_rate': 1.8986086032744138e-06, 'momentum': 0.3086167800843861, 'shuffle': False, 'weight_decay': 2.772779543927265e-05}
17 80.21 -6.9009880859375 10137.802026033401 {'batch_size': 2, 'epochs': 27, 'learning_rate': 9.0699299888668e-06, 'momentum': 0.06790035819129137, 'shuffle': True, 'weight_decay': 4.374143252832622e-05}
18 93.87 -12.505145703125 2807.489380836487 {'batch_size': 8, 'epochs': 26, 'learning_rate': 0.024717660030554523, 'momentum': 0.18184022537153444, 'shuffle': True, 'weight_decay': 6.544698122470402e-06}
19 93.62 -9.71206982421875 1113.15482711792 {'batch_size': 32, 'epochs': 21, 'learning_rate': 0.0037717848570114655, 'momentum': 0.25787766524737, 'shuffle': True, 'weight_decay': 2.1478218690054977e-06}
20 93.7 -15.5690056640625 4858.898791313171 {'batch_size': 8, 'epochs': 45, 'learning_rate': 0.05916452283696263, 'momentum': 0.9522779495703986, 'shuffle': True, 'weight_decay': 1.391740746645364e-06}
21 89.75 -7.064795166015625 1299.4764382839203 {'batch_size': 512, 'epochs': 40, 'learning_rate': 0.0025073265367105226, 'momentum': 0.03614767656934437, 'shuffle': False, 'weight_decay': 6.663325994391824e-06}
22 93.94 -13.65988916015625 1908.2638211250305 {'batch_size': 32, 'epochs': 36, 'learning_rate': 0.0044929670531509746, 'momentum': 0.6374791552065461, 'shuffle': False, 'weight_decay': 4.83778111047362e-06}
23 89.36 -6.743480810546875 3671.850643634796 {'batch_size': 8, 'epochs': 34, 'learning_rate': 8.412836476456731e-06, 'momentum': 0.7816795057236838, 'shuffle': False, 'weight_decay': 7.659165484895036e-06}
24 55.97 -1.6511700317382811 2994.8623723983765 {'batch_size': 4, 'epochs': 15, 'learning_rate': 1.8376935862371248e-06, 'momentum': 0.3174882249539144, 'shuffle': True, 'weight_decay': 2.781156422377516e-05}
25 92.3 -7.66669267578125 2941.124587059021 {'batch_size': 16, 'epochs': 35, 'learning_rate': 0.00014663753216891579, 'momentum': 0.09882422675126212, 'shuffle': False, 'weight_decay': 4.409613360058981e-05}
26 86.09 -5.82971796875 1907.9416661262512 {'batch_size': 32, 'epochs': 36, 'learning_rate': 2.982513854652644e-05, 'momentum': 0.5593397899659033, 'shuffle': False, 'weight_decay': 0.0030356259022847813}
27 93.62 -11.745185546875 2700.1557092666626 {'batch_size': 8, 'epochs': 25, 'learning_rate': 0.03754933704409331, 'momentum': 0.46795767447354786, 'shuffle': True, 'weight_decay': 3.416041133354946e-05}
28 82.78 -6.433094091796875 3378.864346265793 {'batch_size': 2, 'epochs': 9, 'learning_rate': 2.755481706191935e-05, 'momentum': 0.16424728481167827, 'shuffle': False, 'weight_decay': 0.0013342365241201565}
29 92.16 -9.9882296875 2173.820436000824 {'batch_size': 32, 'epochs': 41, 'learning_rate': 5.401263845805873e-05, 'momentum': 0.9700853359940439, 'shuffle': False, 'weight_decay': 6.469582128255108e-05}
30 79.67 -4.480426953125 2438.3615243434906 {'batch_size': 32, 'epochs': 46, 'learning_rate': 1.2339129318716891e-05, 'momentum': 0.40931251767017485, 'shuffle': True, 'weight_decay': 0.007086491241497788}
31 78.27 -5.4082861328125 399.3179032802582 {'batch_size': 4, 'epochs': 2, 'learning_rate': 4.089454021701936e-05, 'momentum': 0.6114358081435411, 'shuffle': True, 'weight_decay': 6.802395012092221e-06}
32 47.79 -0.7254386413574219 117.11461234092712 {'batch_size': 128, 'epochs': 3, 'learning_rate': 0.0001274060108113587, 'momentum': 0.33038805392128634, 'shuffle': False, 'weight_decay': 0.0008844603980804988}
33 91.33 -6.670391845703125 2941.267369747162 {'batch_size': 16, 'epochs': 35, 'learning_rate': 0.0022202696130956615, 'momentum': 0.9206912983976281, 'shuffle': False, 'weight_decay': 0.0030309777856341855}
34 90.93 -8.12470302734375 3680.5868649482727 {'batch_size': 2, 'epochs': 10, 'learning_rate': 0.0001308813752881274, 'momentum': 0.41801526123950394, 'shuffle': False, 'weight_decay': 1.1364841763640906e-06}
35 79.16 -5.945452001953125 746.7153353691101 {'batch_size': 512, 'epochs': 23, 'learning_rate': 0.0024133323362640507, 'momentum': 0.24610685763824391, 'shuffle': True, 'weight_decay': 0.0018575445895619048}
36 91.69 -7.662765185546875 264.669579744339 {'batch_size': 32, 'epochs': 5, 'learning_rate': 0.003838819421542148, 'momentum': 0.8247588213024545, 'shuffle': True, 'weight_decay': 0.0016960416749206393}
37 92.48 -10.2697984375 1588.081350326538 {'batch_size': 32, 'epochs': 30, 'learning_rate': 0.001260146538693964, 'momentum': 0.6842240174631741, 'shuffle': False, 'weight_decay': 0.00031523655007063394}
38 83.69 -6.358526416015625 16479.431612491608 {'batch_size': 2, 'epochs': 45, 'learning_rate': 0.03679825386013169, 'momentum': 0.8964993708046145, 'shuffle': False, 'weight_decay': 0.00034240207562512786}
39 68.77 -4.15607119140625 32.37029981613159 {'batch_size': 512, 'epochs': 1, 'learning_rate': 0.011216946518867307, 'momentum': 0.36688961179591606, 'shuffle': False, 'weight_decay': 0.00025586331782797466}
40 57.72 -1.3103311767578125 1348.780790567398 {'batch_size': 64, 'epochs': 33, 'learning_rate': 3.6379246280104265e-06, 'momentum': 0.7050303018637387, 'shuffle': False, 'weight_decay': 6.329980146224761e-05}
41 61.85 -2.4814563720703124 25430.29269385338 {'batch_size': 1, 'epochs': 35, 'learning_rate': 4.0259369530163015e-05, 'momentum': 0.15535934301815535, 'shuffle': False, 'weight_decay': 2.922098239879223e-06}
42 77.47 -3.9865693115234375 1635.4340374469757 {'batch_size': 64, 'epochs': 40, 'learning_rate': 8.26368871415801e-06, 'momentum': 0.7796910002727693, 'shuffle': True, 'weight_decay': 4.2079886696066345e-06}
43 56.75 -1.1525744506835938 2091.8139941692352 {'batch_size': 16, 'epochs': 25, 'learning_rate': 3.270196091228258e-06, 'momentum': 0.14877272576532974, 'shuffle': False, 'weight_decay': 2.0349616224981566e-05}
44 47.84 -0.8465467041015625 1840.800057888031 {'batch_size': 16, 'epochs': 22, 'learning_rate': 1.4416970522037637e-06, 'momentum': 0.6278505054153564, 'shuffle': True, 'weight_decay': 2.7368018278462964e-05}
45 94.47 -11.17957353515625 3603.515547275543 {'batch_size': 8, 'epochs': 34, 'learning_rate': 0.00012609343295970897, 'momentum': 0.957252431247156, 'shuffle': True, 'weight_decay': 7.784520721505646e-05}
46 85.7 -5.499251513671875 1694.207656621933 {'batch_size': 32, 'epochs': 32, 'learning_rate': 1.7587959527737176e-05, 'momentum': 0.7580758646498177, 'shuffle': False, 'weight_decay': 0.009093797913748737}
47 92.93 -8.3929982421875 1677.127315044403 {'batch_size': 128, 'epochs': 43, 'learning_rate': 0.03534705876717448, 'momentum': 0.8234311740954802, 'shuffle': False, 'weight_decay': 0.0006767379836193072}
48 60.12 -1.9622028442382813 15819.396911144257 {'batch_size': 1, 'epochs': 22, 'learning_rate': 2.1495931517605497e-05, 'momentum': 0.6937768258078126, 'shuffle': True, 'weight_decay': 0.0014727771673352314}
49 61.46 -1.2951661865234374 1339.684048652649 {'batch_size': 256, 'epochs': 39, 'learning_rate': 9.355749188763208e-06, 'momentum': 0.7626297226792332, 'shuffle': False, 'weight_decay': 0.0001851563615456015}
50 34.12 -0.3695445098876953 5154.1715931892395 {'batch_size': 1, 'epochs': 7, 'learning_rate': 2.3544151126431043e-06, 'momentum': 0.6099381327355646, 'shuffle': True, 'weight_decay': 3.2304304164596546e-05}
51 21.22 -0.10002637939453125 97.37513184547424 {'batch_size': 512, 'epochs': 3, 'learning_rate': 5.206170209136379e-05, 'momentum': 0.6440197270198309, 'shuffle': True, 'weight_decay': 0.006854158264358167}
52 69.17 -2.344646142578125 2225.4860265254974 {'batch_size': 32, 'epochs': 42, 'learning_rate': 5.386012300130379e-06, 'momentum': 0.4206843571247292, 'shuffle': False, 'weight_decay': 2.4725088874563036e-06}
53 89.94 -8.33176552734375 1108.0879135131836 {'batch_size': 512, 'epochs': 34, 'learning_rate': 0.017034409421165905, 'momentum': 0.03398589307200095, 'shuffle': True, 'weight_decay': 0.00022049844777108815}
54 67.9 -2.0580510009765627 1006.9611189365387 {'batch_size': 32, 'epochs': 19, 'learning_rate': 8.402014734272457e-06, 'momentum': 0.5182827281674762, 'shuffle': False, 'weight_decay': 7.381085266839907e-06}
55 92.27 -8.0883271484375 1912.113335609436 {'batch_size': 128, 'epochs': 49, 'learning_rate': 1.736900068216832e-05, 'momentum': 0.9834923709267662, 'shuffle': False, 'weight_decay': 1.3873209411573346e-05}
56 91.6 -9.33647880859375 264.94646883010864 {'batch_size': 32, 'epochs': 5, 'learning_rate': 0.014424207444852068, 'momentum': 0.41300039884738926, 'shuffle': True, 'weight_decay': 2.6168923557015072e-05}
57 78.51 -4.355478125 490.93229246139526 {'batch_size': 64, 'epochs': 12, 'learning_rate': 0.00011358091243353183, 'momentum': 0.310782698560087, 'shuffle': True, 'weight_decay': 0.001678424735492773}
58 88.78 -8.68976220703125 4517.233792304993 {'batch_size': 8, 'epochs': 42, 'learning_rate': 0.028629551593190885, 'momentum': 0.9625003045471165, 'shuffle': True, 'weight_decay': 0.00019366285470008462}
59 90.85 -7.944499658203125 15323.599897146225 {'batch_size': 2, 'epochs': 41, 'learning_rate': 0.0015385231975427807, 'momentum': 0.9791617846798668, 'shuffle': False, 'weight_decay': 0.00019692222571738782}
60 91.05 -7.85142861328125 3736.3651838302612 {'batch_size': 2, 'epochs': 10, 'learning_rate': 4.1296513251698424e-05, 'momentum': 0.6657495702883091, 'shuffle': False, 'weight_decay': 0.000985625904622533}
61 75.3 -3.744223779296875 4735.710254430771 {'batch_size': 8, 'epochs': 44, 'learning_rate': 2.2177348859399573e-06, 'momentum': 0.5423332415487714, 'shuffle': False, 'weight_decay': 0.007239452665960613}
62 92.43 -8.63740810546875 5568.023600816727 {'batch_size': 4, 'epochs': 28, 'learning_rate': 0.00021597993739475078, 'momentum': 0.451699081148222, 'shuffle': False, 'weight_decay': 0.0003354760299674898}
63 48.52 -0.8025503967285156 1672.88006234169 {'batch_size': 16, 'epochs': 20, 'learning_rate': 1.7403390413291917e-06, 'momentum': 0.5256725610928528, 'shuffle': True, 'weight_decay': 0.0009739489505493365}
64 93.84 -13.359852734375 3261.4203844070435 {'batch_size': 16, 'epochs': 39, 'learning_rate': 0.0005741956209144095, 'momentum': 0.8626501519222475, 'shuffle': False, 'weight_decay': 6.730995521220087e-05}
65 37.79 -0.08705146942138672 105.99697780609131 {'batch_size': 32, 'epochs': 2, 'learning_rate': 2.7266311171100808e-05, 'momentum': 0.17264465555520647, 'shuffle': True, 'weight_decay': 0.00019118400624126548}
66 73.24 -3.240727978515625 836.2121670246124 {'batch_size': 16, 'epochs': 10, 'learning_rate': 2.2845714939425375e-05, 'momentum': 0.2488827010922795, 'shuffle': True, 'weight_decay': 5.9951524243074696e-06}
67 93.48 -18.99439765625 4090.6112389564514 {'batch_size': 8, 'epochs': 38, 'learning_rate': 0.057116912148829774, 'momentum': 0.6210095758109675, 'shuffle': False, 'weight_decay': 1.737767690156849e-06}
68 90.09 -7.764530810546875 596.5851576328278 {'batch_size': 4, 'epochs': 3, 'learning_rate': 0.0008131145091191274, 'momentum': 0.11251216781112139, 'shuffle': True, 'weight_decay': 1.768767617176223e-06}
69 91.91 -7.675319921875 859.1477117538452 {'batch_size': 64, 'epochs': 21, 'learning_rate': 0.0009530584688996193, 'momentum': 0.16174898884750344, 'shuffle': False, 'weight_decay': 0.00017595268687195599}
70 93.14 -7.3606634765625 1800.0602326393127 {'batch_size': 64, 'epochs': 44, 'learning_rate': 0.0008378308796739566, 'momentum': 0.9051701737237969, 'shuffle': False, 'weight_decay': 0.0027956142065556125}
71 81.43 -4.83691455078125 1638.9957025051117 {'batch_size': 128, 'epochs': 42, 'learning_rate': 9.851157105023822e-06, 'momentum': 0.9165579658994917, 'shuffle': True, 'weight_decay': 6.181919170866148e-06}
72 76.02 -3.866767822265625 1717.336207151413 {'batch_size': 256, 'epochs': 50, 'learning_rate': 0.00011508350431132231, 'momentum': 0.07116501308371925, 'shuffle': False, 'weight_decay': 4.471554979147595e-05}
73 91.72 -7.70614560546875 654.5766150951385 {'batch_size': 64, 'epochs': 16, 'learning_rate': 0.0010951774428767473, 'momentum': 0.17338118411792236, 'shuffle': False, 'weight_decay': 9.374668823129116e-05}
74 21.99 -0.14502329559326171 1531.2355616092682 {'batch_size': 512, 'epochs': 47, 'learning_rate': 3.5394347106442684e-06, 'momentum': 0.5515733081762527, 'shuffle': False, 'weight_decay': 0.0017436321372247834}
75 93.06 -8.689478515625 1236.4583117961884 {'batch_size': 256, 'epochs': 36, 'learning_rate': 0.006048524288003245, 'momentum': 0.3265705028895898, 'shuffle': True, 'weight_decay': 0.0005233210034957406}
76 74.68 -5.241985400390625 9715.385030508041 {'batch_size': 2, 'epochs': 26, 'learning_rate': 1.3476989132869464e-06, 'momentum': 0.7120270818003529, 'shuffle': False, 'weight_decay': 2.7621884198797644e-06}
77 24.52 0.08215502853393555 78.02820611000061 {'batch_size': 128, 'epochs': 2, 'learning_rate': 5.846342852568666e-05, 'momentum': 0.04006416454400541, 'shuffle': False, 'weight_decay': 2.2350034196549644e-06}
78 92.99 -6.275175927734375 2384.5952327251434 {'batch_size': 32, 'epochs': 45, 'learning_rate': 0.0007358477689668306, 'momentum': 0.5965820088990672, 'shuffle': False, 'weight_decay': 0.007264220202713005}
79 88.77 -6.591669970703125 780.3377349376678 {'batch_size': 128, 'epochs': 20, 'learning_rate': 0.00020315209594766088, 'momentum': 0.8138021688847107, 'shuffle': True, 'weight_decay': 0.0019103447239881071}
80 70.79 -2.6517509521484377 1104.522570848465 {'batch_size': 64, 'epochs': 27, 'learning_rate': 5.964109382264392e-06, 'momentum': 0.79793726584369, 'shuffle': False, 'weight_decay': 0.000550301652097402}
81 88.52 -6.12898310546875 2583.7493114471436 {'batch_size': 8, 'epochs': 24, 'learning_rate': 0.012675094654595145, 'momentum': 0.6651954569952129, 'shuffle': False, 'weight_decay': 0.00223799397754854}
82 89.82 -6.95144609375 538.1907205581665 {'batch_size': 8, 'epochs': 5, 'learning_rate': 9.897018286732839e-05, 'momentum': 0.7806442586931758, 'shuffle': False, 'weight_decay': 8.174366734821322e-05}
83 82.06 -5.77029501953125 5765.406991481781 {'batch_size': 4, 'epochs': 29, 'learning_rate': 0.014861173382774089, 'momentum': 0.9068535028184237, 'shuffle': False, 'weight_decay': 0.002039231416813791}
84 89.53 -6.965023388671875 7098.78075671196 {'batch_size': 2, 'epochs': 19, 'learning_rate': 1.6277636183024125e-05, 'momentum': 0.628480005044585, 'shuffle': True, 'weight_decay': 0.0008072825216226806}
85 54.62 -2.64345205078125 19152.726867198944 {'batch_size': 1, 'epochs': 26, 'learning_rate': 3.0990187852045795e-05, 'momentum': 0.6537987123925958, 'shuffle': False, 'weight_decay': 0.0003432896419556787}
86 93.8 -19.9340966796875 4182.268819332123 {'batch_size': 16, 'epochs': 50, 'learning_rate': 0.03611244966241301, 'momentum': 0.11280624385619764, 'shuffle': False, 'weight_decay': 8.122824366868438e-06}
87 81.25 -4.935224560546875 1881.7971415519714 {'batch_size': 64, 'epochs': 46, 'learning_rate': 2.3271548849798937e-05, 'momentum': 0.586518526806177, 'shuffle': False, 'weight_decay': 9.18289594375595e-06}
88 92.52 -9.14410771484375 1064.7926239967346 {'batch_size': 256, 'epochs': 31, 'learning_rate': 0.03462103494736655, 'momentum': 0.6524178750536233, 'shuffle': True, 'weight_decay': 0.0006309061526019284}
89 93.92 -9.5100177734375 2153.708655357361 {'batch_size': 8, 'epochs': 20, 'learning_rate': 0.002458759991056142, 'momentum': 0.2866528711983688, 'shuffle': True, 'weight_decay': 0.00018060944507340026}
90 85.95 -6.31483017578125 1591.1706049442291 {'batch_size': 4, 'epochs': 8, 'learning_rate': 3.542066120011039e-05, 'momentum': 0.4098421423590053, 'shuffle': True, 'weight_decay': 1.1771669425579658e-05}
91 93.11 -8.4650421875 9942.874873638153 {'batch_size': 4, 'epochs': 50, 'learning_rate': 0.0002456993356132103, 'momentum': 0.570165180365247, 'shuffle': True, 'weight_decay': 2.1493901286416694e-05}
92 90.23 -6.119202734375 1292.221035003662 {'batch_size': 8, 'epochs': 12, 'learning_rate': 0.013224253109634067, 'momentum': 0.00799211859966853, 'shuffle': False, 'weight_decay': 0.002663594959002005}
93 94.02 -11.2523529296875 1542.2563655376434 {'batch_size': 32, 'epochs': 29, 'learning_rate': 0.023334398731624056, 'momentum': 0.22252073855700705, 'shuffle': True, 'weight_decay': 0.00013921166550424552}
94 92.73 -12.1330107421875 6197.639849901199 {'batch_size': 4, 'epochs': 31, 'learning_rate': 0.0028138961994060912, 'momentum': 0.423432978900535, 'shuffle': False, 'weight_decay': 7.78552181513811e-06}
95 89.94 -7.297443017578125 532.9586229324341 {'batch_size': 64, 'epochs': 13, 'learning_rate': 0.0012100342748046402, 'momentum': 0.23008508025799612, 'shuffle': True, 'weight_decay': 0.00013549820243046688}
96 93.07 -7.75857265625 2017.3777766227722 {'batch_size': 16, 'epochs': 24, 'learning_rate': 0.0288703496161695, 'momentum': 0.027231364726129637, 'shuffle': True, 'weight_decay': 0.0006722287459486156}
97 92.89 -9.59465205078125 5302.453590631485 {'batch_size': 8, 'epochs': 49, 'learning_rate': 0.00017209526694981795, 'momentum': 0.2845810090286316, 'shuffle': False, 'weight_decay': 9.001709006440925e-06}
98 22.01 -0.2597168960571289 84.00640320777893 {'batch_size': 16, 'epochs': 1, 'learning_rate': 5.1186958974370085e-06, 'momentum': 0.773206401600497, 'shuffle': True, 'weight_decay': 2.989790423187476e-06}
99 85.55 -6.229937158203125 13891.093031644821 {'batch_size': 2, 'epochs': 37, 'learning_rate': 0.014445761041936421, 'momentum': 0.7340626048404454, 'shuffle': True, 'weight_decay': 0.0017068676739804857}
100 77.96 -4.384530322265625 1169.0288608074188 {'batch_size': 256, 'epochs': 34, 'learning_rate': 0.00011487671076244837, 'momentum': 0.5263824674842963, 'shuffle': True, 'weight_decay': 1.0444205893399789e-06}
101 82.18 -4.87210380859375 18029.14343190193 {'batch_size': 2, 'epochs': 48, 'learning_rate': 0.08360612078104698, 'momentum': 0.0013303956782592108, 'shuffle': False, 'weight_decay': 0.0021656459148909468}
102 67.33 -2.937413818359375 14772.917006254196 {'batch_size': 1, 'epochs': 20, 'learning_rate': 0.00020559199278918146, 'momentum': 0.3102066198791583, 'shuffle': False, 'weight_decay': 0.00020651783533691956}
103 92.19 -8.858352734375 507.91515135765076 {'batch_size': 128, 'epochs': 13, 'learning_rate': 0.011151808470419822, 'momentum': 0.05389337858283694, 'shuffle': True, 'weight_decay': 0.00022319529764803912}
104 92.41 -9.447665625 371.84238839149475 {'batch_size': 32, 'epochs': 7, 'learning_rate': 0.00819109667096125, 'momentum': 0.42948297633584265, 'shuffle': True, 'weight_decay': 5.531296873910416e-06}
105 76.17 -6.179709130859375 12556.484313726425 {'batch_size': 1, 'epochs': 17, 'learning_rate': 0.017830972625839544, 'momentum': 0.649545379770449, 'shuffle': True, 'weight_decay': 0.00013885456942705547}
106 83.02 -5.3871087890625 937.6543338298798 {'batch_size': 128, 'epochs': 24, 'learning_rate': 0.0003135470698799653, 'momentum': 0.1241641555134938, 'shuffle': False, 'weight_decay': 0.0009020712582843059}
107 71.83 -5.43367275390625 30617.466614961624 {'batch_size': 1, 'epochs': 38, 'learning_rate': 0.0006561592314169809, 'momentum': 0.22526441436875844, 'shuffle': True, 'weight_decay': 3.4784297850371596e-05}
108 93.9 -9.42945341796875 4874.325555801392 {'batch_size': 8, 'epochs': 46, 'learning_rate': 0.00035489463915161805, 'momentum': 0.6118461648308805, 'shuffle': True, 'weight_decay': 0.0005558605222328076}
109 89.9 -7.4165794921875 1313.6971862316132 {'batch_size': 64, 'epochs': 32, 'learning_rate': 0.0003098081632404893, 'momentum': 0.5023694946957323, 'shuffle': False, 'weight_decay': 0.001258388254513634}
110 73.84 -3.6074709228515625 29790.02539730072 {'batch_size': 1, 'epochs': 41, 'learning_rate': 4.332184085968854e-05, 'momentum': 0.9556002215503347, 'shuffle': True, 'weight_decay': 0.0005223507349321748}
111 86.52 -5.97523798828125 592.9323973655701 {'batch_size': 16, 'epochs': 7, 'learning_rate': 3.2281020422005705e-05, 'momentum': 0.8539064583872442, 'shuffle': True, 'weight_decay': 1.5181029269867436e-05}
112 92.61 -8.21341767578125 3032.5117156505585 {'batch_size': 16, 'epochs': 36, 'learning_rate': 3.711968127207754e-05, 'momentum': 0.8500931194102556, 'shuffle': True, 'weight_decay': 0.0012815000718576252}
113 67.18 -2.0329411743164063 372.9168891906738 {'batch_size': 32, 'epochs': 7, 'learning_rate': 4.346681644542704e-06, 'momentum': 0.9044443997479494, 'shuffle': False, 'weight_decay': 3.2412381122273294e-06}
114 94.35 -15.56472861328125 4659.104950904846 {'batch_size': 8, 'epochs': 44, 'learning_rate': 0.04260090402177751, 'momentum': 0.4884131776506436, 'shuffle': True, 'weight_decay': 1.0905581001074851e-06}
115 92.01 -7.24762099609375 2929.7007908821106 {'batch_size': 4, 'epochs': 15, 'learning_rate': 7.199171134778427e-05, 'momentum': 0.5584901912272032, 'shuffle': True, 'weight_decay': 0.0008156180888407958}
116 94.09 -15.22853486328125 1544.9612748622894 {'batch_size': 32, 'epochs': 29, 'learning_rate': 0.09017734283624085, 'momentum': 0.5069756584550278, 'shuffle': True, 'weight_decay': 1.0232129485970798e-06}
117 71.03 -1.0000049743652344 10806.262306213379 {'batch_size': 1, 'epochs': 15, 'learning_rate': 1.4282639780492693e-05, 'momentum': 0.8853034007602604, 'shuffle': False, 'weight_decay': 0.009096301271473409}
118 39.72 -0.8611174499511719 4323.338964939117 {'batch_size': 1, 'epochs': 6, 'learning_rate': 9.601452233265457e-06, 'momentum': 0.3096661635410072, 'shuffle': False, 'weight_decay': 0.00036787668060076216}
119 92.02 -7.51532021484375 1758.0875704288483 {'batch_size': 4, 'epochs': 9, 'learning_rate': 0.03383465343873391, 'momentum': 0.060797771455880945, 'shuffle': True, 'weight_decay': 0.0003336767549128834}
120 93.0 -11.67193359375 743.0537476539612 {'batch_size': 128, 'epochs': 19, 'learning_rate': 0.09647143329762951, 'momentum': 0.5655250584866289, 'shuffle': True, 'weight_decay': 6.934884882255513e-05}
121 10.0 -3.201782703399658e-07 7808.805742025375 {'batch_size': 4, 'epochs': 40, 'learning_rate': 0.0903747319263724, 'momentum': 0.8078427475090664, 'shuffle': False, 'weight_decay': 0.002092726882678989}
122 83.54 -5.245668701171875 574.6650433540344 {'batch_size': 64, 'epochs': 14, 'learning_rate': 0.00018136961873738052, 'momentum': 0.4080652648079488, 'shuffle': True, 'weight_decay': 0.005445469184645569}
123 90.51 -6.70874912109375 2344.256726503372 {'batch_size': 4, 'epochs': 12, 'learning_rate': 0.0005709181441858977, 'momentum': 0.7194689697855631, 'shuffle': False, 'weight_decay': 0.0013185938554989881}
124 94.17 -11.54351552734375 18407.267399787903 {'batch_size': 2, 'epochs': 50, 'learning_rate': 0.0008945874652755312, 'momentum': 0.5604160084180974, 'shuffle': True, 'weight_decay': 1.2472606616745805e-05}
125 91.18 -6.93190068359375 1953.0452044010162 {'batch_size': 4, 'epochs': 10, 'learning_rate': 0.014313717456283761, 'momentum': 0.04146365919027584, 'shuffle': True, 'weight_decay': 0.0014261855348164836}
126 65.36 -1.9794175415039061 2011.703905582428 {'batch_size': 64, 'epochs': 49, 'learning_rate': 1.0601305157622277e-05, 'momentum': 0.13430412199704767, 'shuffle': False, 'weight_decay': 0.000979288104229258}
127 72.67 -3.15544677734375 97.6288070678711 {'batch_size': 512, 'epochs': 3, 'learning_rate': 0.0009389908022634114, 'momentum': 0.6903532353996533, 'shuffle': False, 'weight_decay': 0.00016165737217192173}
128 93.94 -12.41697373046875 9079.679003953934 {'batch_size': 4, 'epochs': 45, 'learning_rate': 0.017351341337398025, 'momentum': 0.3803830149888503, 'shuffle': True, 'weight_decay': 9.030199368515732e-06}
