0 99.27 -9.92112919921875 2316.891398191452 {'batch_size': 32, 'epochs': 43, 'learning_rate': 0.019486241836466356, 'momentum': 0.8472517387841254, 'shuffle': False, 'weight_decay': 0.0003833332156156665}
24 45.82 -0.8576313293457031 3106.204197406769 {'batch_size': 4, 'epochs': 15, 'learning_rate': 1.8376935862371248e-06, 'momentum': 0.3174882249539144, 'shuffle': True, 'weight_decay': 2.781156422377516e-05}
25 99.4 -9.163158984375 3013.9117929935455 {'batch_size': 16, 'epochs': 35, 'learning_rate': 0.00014663753216891579, 'momentum': 0.09882422675126212, 'shuffle': False, 'weight_decay': 4.409613360058981e-05}
26 98.59 -6.855160693359375 1919.0184717178345 {'batch_size': 32, 'epochs': 36, 'learning_rate': 2.982513854652644e-05, 'momentum': 0.5593397899659033, 'shuffle': False, 'weight_decay': 0.0030356259022847813}
27 99.43 -12.76074580078125 2690.688101530075 {'batch_size': 8, 'epochs': 25, 'learning_rate': 0.03754933704409331, 'momentum': 0.46795767447354786, 'shuffle': True, 'weight_decay': 3.416041133354946e-05}
28 98.39 -8.59426953125 3452.707814693451 {'batch_size': 2, 'epochs': 9, 'learning_rate': 2.755481706191935e-05, 'momentum': 0.16424728481167827, 'shuffle': False, 'weight_decay': 0.0013342365241201565}
29 99.45 -11.84654521484375 2199.7501242160797 {'batch_size': 32, 'epochs': 41, 'learning_rate': 5.401263845805873e-05, 'momentum': 0.9700853359940439, 'shuffle': False, 'weight_decay': 6.469582128255108e-05}
30 96.17 -4.70648037109375 2467.645219564438 {'batch_size': 32, 'epochs': 46, 'learning_rate': 1.2339129318716891e-05, 'momentum': 0.40931251767017485, 'shuffle': True, 'weight_decay': 0.007086491241497788}
31 96.91 -5.870214111328125 408.33143520355225 {'batch_size': 4, 'epochs': 2, 'learning_rate': 4.089454021701936e-05, 'momentum': 0.6114358081435411, 'shuffle': True, 'weight_decay': 6.802395012092221e-06}
32 33.02 -0.4229529602050781 117.56945729255676 {'batch_size': 128, 'epochs': 3, 'learning_rate': 0.0001274060108113587, 'momentum': 0.33038805392128634, 'shuffle': False, 'weight_decay': 0.0008844603980804988}
33 99.39 -7.048231787109375 3005.3383090496063 {'batch_size': 16, 'epochs': 35, 'learning_rate': 0.0022202696130956615, 'momentum': 0.9206912983976281, 'shuffle': False, 'weight_decay': 0.0030309777856341855}
34 98.88 -10.22976259765625 3848.7269899845123 {'batch_size': 2, 'epochs': 10, 'learning_rate': 0.0001308813752881274, 'momentum': 0.41801526123950394, 'shuffle': False, 'weight_decay': 1.1364841763640906e-06}
35 98.58 -8.033228369140625 748.8842866420746 {'batch_size': 512, 'epochs': 23, 'learning_rate': 0.0024133323362640507, 'momentum': 0.24610685763824391, 'shuffle': True, 'weight_decay': 0.0018575445895619048}
36 99.32 -9.50705654296875 268.21386671066284 {'batch_size': 32, 'epochs': 5, 'learning_rate': 0.003838819421542148, 'momentum': 0.8247588213024545, 'shuffle': True, 'weight_decay': 0.0016960416749206393}
37 99.47 -11.3348349609375 1610.1710064411163 {'batch_size': 32, 'epochs': 30, 'learning_rate': 0.001260146538693964, 'momentum': 0.6842240174631741, 'shuffle': False, 'weight_decay': 0.00031523655007063394}
38 95.55 -8.215289111328126 17234.90263390541 {'batch_size': 2, 'epochs': 45, 'learning_rate': 0.03679825386013169, 'momentum': 0.8964993708046145, 'shuffle': False, 'weight_decay': 0.00034240207562512786}
39 93.22 -5.168719189453125 32.39780855178833 {'batch_size': 512, 'epochs': 1, 'learning_rate': 0.011216946518867307, 'momentum': 0.36688961179591606, 'shuffle': False, 'weight_decay': 0.00025586331782797466}
40 48.14 -0.7582915344238281 1351.721740245819 {'batch_size': 64, 'epochs': 33, 'learning_rate': 3.6379246280104265e-06, 'momentum': 0.7050303018637387, 'shuffle': False, 'weight_decay': 6.329980146224761e-05}
41 76.53 -3.989665283203125 25578.232428073883 {'batch_size': 1, 'epochs': 35, 'learning_rate': 4.0259369530163015e-05, 'momentum': 0.15535934301815535, 'shuffle': False, 'weight_decay': 2.922098239879223e-06}
42 94.26 -4.254338134765625 1642.2678515911102 {'batch_size': 64, 'epochs': 40, 'learning_rate': 8.26368871415801e-06, 'momentum': 0.7796910002727693, 'shuffle': True, 'weight_decay': 4.2079886696066345e-06}
43 39.99 -0.5930069702148437 2114.647707939148 {'batch_size': 16, 'epochs': 25, 'learning_rate': 3.270196091228258e-06, 'momentum': 0.14877272576532974, 'shuffle': False, 'weight_decay': 2.0349616224981566e-05}
44 39.79 -0.5455931335449219 1857.1730735301971 {'batch_size': 16, 'epochs': 22, 'learning_rate': 1.4416970522037637e-06, 'momentum': 0.6278505054153564, 'shuffle': True, 'weight_decay': 2.7368018278462964e-05}
45 99.52 -11.12882666015625 3656.663363456726 {'batch_size': 8, 'epochs': 34, 'learning_rate': 0.00012609343295970897, 'momentum': 0.957252431247156, 'shuffle': True, 'weight_decay': 7.784520721505646e-05}
46 98.61 -6.42329345703125 1709.9775536060333 {'batch_size': 32, 'epochs': 32, 'learning_rate': 1.7587959527737176e-05, 'momentum': 0.7580758646498177, 'shuffle': False, 'weight_decay': 0.009093797913748737}
47 99.37 -8.7647828125 1682.848449230194 {'batch_size': 128, 'epochs': 43, 'learning_rate': 0.03534705876717448, 'momentum': 0.8234311740954802, 'shuffle': False, 'weight_decay': 0.0006767379836193072}
48 77.02 -2.9238478759765627 16094.816457509995 {'batch_size': 1, 'epochs': 22, 'learning_rate': 2.1495931517605497e-05, 'momentum': 0.6937768258078126, 'shuffle': True, 'weight_decay': 0.0014727771673352314}
49 44.74 -0.8881932800292969 1342.899677991867 {'batch_size': 256, 'epochs': 39, 'learning_rate': 9.355749188763208e-06, 'momentum': 0.7626297226792332, 'shuffle': False, 'weight_decay': 0.0001851563615456015}
50 39.98 -0.032904962348937986 5180.880960226059 {'batch_size': 1, 'epochs': 7, 'learning_rate': 2.3544151126431043e-06, 'momentum': 0.6099381327355646, 'shuffle': True, 'weight_decay': 3.2304304164596546e-05}
51 18.1 -0.08108346939086913 97.84224772453308 {'batch_size': 512, 'epochs': 3, 'learning_rate': 5.206170209136379e-05, 'momentum': 0.6440197270198309, 'shuffle': True, 'weight_decay': 0.006854158264358167}
52 70.33 -1.8444068969726561 2253.964775800705 {'batch_size': 32, 'epochs': 42, 'learning_rate': 5.386012300130379e-06, 'momentum': 0.4206843571247292, 'shuffle': False, 'weight_decay': 2.4725088874563036e-06}
53 99.43 -10.7579765625 1106.556610584259 {'batch_size': 512, 'epochs': 34, 'learning_rate': 0.017034409421165905, 'momentum': 0.03398589307200095, 'shuffle': True, 'weight_decay': 0.00022049844777108815}
54 59.48 -1.17677333984375 1019.051041841507 {'batch_size': 32, 'epochs': 19, 'learning_rate': 8.402014734272457e-06, 'momentum': 0.5182827281674762, 'shuffle': False, 'weight_decay': 7.381085266839907e-06}
55 99.38 -9.4130986328125 1919.3336913585663 {'batch_size': 128, 'epochs': 49, 'learning_rate': 1.736900068216832e-05, 'momentum': 0.9834923709267662, 'shuffle': False, 'weight_decay': 1.3873209411573346e-05}
56 99.53 -12.50265986328125 268.34068036079407 {'batch_size': 32, 'epochs': 5, 'learning_rate': 0.014424207444852068, 'momentum': 0.41300039884738926, 'shuffle': True, 'weight_decay': 2.6168923557015072e-05}
57 96.56 -4.910361865234375 494.1087005138397 {'batch_size': 64, 'epochs': 12, 'learning_rate': 0.00011358091243353183, 'momentum': 0.310782698560087, 'shuffle': True, 'weight_decay': 0.001678424735492773}
58 98.1 -10.01192861328125 4679.291703224182 {'batch_size': 8, 'epochs': 42, 'learning_rate': 0.028629551593190885, 'momentum': 0.9625003045471165, 'shuffle': True, 'weight_decay': 0.00019366285470008462}
59 98.78 -8.500053564453125 15957.259798526764 {'batch_size': 2, 'epochs': 41, 'learning_rate': 0.0015385231975427807, 'momentum': 0.9791617846798668, 'shuffle': False, 'weight_decay': 0.00019692222571738782}
60 98.87 -9.1527734375 3878.576775074005 {'batch_size': 2, 'epochs': 10, 'learning_rate': 4.1296513251698424e-05, 'momentum': 0.6657495702883091, 'shuffle': False, 'weight_decay': 0.000985625904622533}
61 94.97 -3.9907932861328126 4895.309502363205 {'batch_size': 8, 'epochs': 44, 'learning_rate': 2.2177348859399573e-06, 'momentum': 0.5423332415487714, 'shuffle': False, 'weight_decay': 0.007239452665960613}
62 99.36 -9.27988486328125 5746.879196882248 {'batch_size': 4, 'epochs': 28, 'learning_rate': 0.00021597993739475078, 'momentum': 0.451699081148222, 'shuffle': False, 'weight_decay': 0.0003354760299674898}
63 31.47 -0.40788252258300783 1707.4345622062683 {'batch_size': 16, 'epochs': 20, 'learning_rate': 1.7403390413291917e-06, 'momentum': 0.5256725610928528, 'shuffle': True, 'weight_decay': 0.0009739489505493365}
64 99.51 -12.9388658203125 3336.4235677719116 {'batch_size': 16, 'epochs': 39, 'learning_rate': 0.0005741956209144095, 'momentum': 0.8626501519222475, 'shuffle': False, 'weight_decay': 6.730995521220087e-05}
65 26.66 -0.17912647552490235 107.19203209877014 {'batch_size': 32, 'epochs': 2, 'learning_rate': 2.7266311171100808e-05, 'momentum': 0.17264465555520647, 'shuffle': True, 'weight_decay': 0.00019118400624126548}
66 91.29 -3.2222516845703124 854.7930226325989 {'batch_size': 16, 'epochs': 10, 'learning_rate': 2.2845714939425375e-05, 'momentum': 0.2488827010922795, 'shuffle': True, 'weight_decay': 5.9951524243074696e-06}
67 99.44 -20.37205859375 4119.973838806152 {'batch_size': 8, 'epochs': 38, 'learning_rate': 0.057116912148829774, 'momentum': 0.6210095758109675, 'shuffle': False, 'weight_decay': 1.737767690156849e-06}
68 99.17 -8.4764953125 600.2541899681091 {'batch_size': 4, 'epochs': 3, 'learning_rate': 0.0008131145091191274, 'momentum': 0.11251216781112139, 'shuffle': True, 'weight_decay': 1.768767617176223e-06}
69 99.17 -8.8235134765625 863.1254434585571 {'batch_size': 64, 'epochs': 21, 'learning_rate': 0.0009530584688996193, 'momentum': 0.16174898884750344, 'shuffle': False, 'weight_decay': 0.00017595268687195599}
70 99.55 -7.490947900390625 1807.776090145111 {'batch_size': 64, 'epochs': 44, 'learning_rate': 0.0008378308796739566, 'momentum': 0.9051701737237969, 'shuffle': False, 'weight_decay': 0.0027956142065556125}
71 97.21 -5.258628515625 1643.7606732845306 {'batch_size': 128, 'epochs': 42, 'learning_rate': 9.851157105023822e-06, 'momentum': 0.9165579658994917, 'shuffle': True, 'weight_decay': 6.181919170866148e-06}
72 94.26 -3.8520414306640625 1720.906779050827 {'batch_size': 256, 'epochs': 50, 'learning_rate': 0.00011508350431132231, 'momentum': 0.07116501308371925, 'shuffle': False, 'weight_decay': 4.471554979147595e-05}
73 99.14 -8.85179521484375 656.4632711410522 {'batch_size': 64, 'epochs': 16, 'learning_rate': 0.0010951774428767473, 'momentum': 0.17338118411792236, 'shuffle': False, 'weight_decay': 9.374668823129116e-05}
74 19.07 -0.12848621139526367 1526.4541597366333 {'batch_size': 512, 'epochs': 47, 'learning_rate': 3.5394347106442684e-06, 'momentum': 0.5515733081762527, 'shuffle': False, 'weight_decay': 0.0017436321372247834}
75 99.45 -10.2336896484375 1238.973192691803 {'batch_size': 256, 'epochs': 36, 'learning_rate': 0.006048524288003245, 'momentum': 0.3265705028895898, 'shuffle': True, 'weight_decay': 0.0005233210034957406}
76 95.94 -5.672538232421875 9890.45546245575 {'batch_size': 2, 'epochs': 26, 'learning_rate': 1.3476989132869464e-06, 'momentum': 0.7120270818003529, 'shuffle': False, 'weight_decay': 2.7621884198797644e-06}
77 20.8 -0.14089229278564452 78.22067165374756 {'batch_size': 128, 'epochs': 2, 'learning_rate': 5.846342852568666e-05, 'momentum': 0.04006416454400541, 'shuffle': False, 'weight_decay': 2.2350034196549644e-06}
78 99.21 -6.53721552734375 2401.799186229706 {'batch_size': 32, 'epochs': 45, 'learning_rate': 0.0007358477689668306, 'momentum': 0.5965820088990672, 'shuffle': False, 'weight_decay': 0.007264220202713005}
79 99.01 -7.904006103515625 782.4208333492279 {'batch_size': 128, 'epochs': 20, 'learning_rate': 0.00020315209594766088, 'momentum': 0.8138021688847107, 'shuffle': True, 'weight_decay': 0.0019103447239881071}
80 77.26 -1.8342671020507813 1108.5907788276672 {'batch_size': 64, 'epochs': 27, 'learning_rate': 5.964109382264392e-06, 'momentum': 0.79793726584369, 'shuffle': False, 'weight_decay': 0.000550301652097402}
81 98.78 -7.6704232421875 2621.105288028717 {'batch_size': 8, 'epochs': 24, 'learning_rate': 0.012675094654595145, 'momentum': 0.6651954569952129, 'shuffle': False, 'weight_decay': 0.00223799397754854}
82 99.29 -8.866567578125 546.469967842102 {'batch_size': 8, 'epochs': 5, 'learning_rate': 9.897018286732839e-05, 'momentum': 0.7806442586931758, 'shuffle': False, 'weight_decay': 8.174366734821322e-05}
83 94.73 -6.9256958984375 5852.717493534088 {'batch_size': 4, 'epochs': 29, 'learning_rate': 0.014861173382774089, 'momentum': 0.9068535028184237, 'shuffle': False, 'weight_decay': 0.002039231416813791}
84 98.99 -8.9429595703125 7208.567360401154 {'batch_size': 2, 'epochs': 19, 'learning_rate': 1.6277636183024125e-05, 'momentum': 0.628480005044585, 'shuffle': True, 'weight_decay': 0.0008072825216226806}
85 70.81 -4.0477517822265625 18893.980372667313 {'batch_size': 1, 'epochs': 26, 'learning_rate': 3.0990187852045795e-05, 'momentum': 0.6537987123925958, 'shuffle': False, 'weight_decay': 0.0003432896419556787}
86 99.39 -18.1148583984375 4246.811172008514 {'batch_size': 16, 'epochs': 50, 'learning_rate': 0.03611244966241301, 'momentum': 0.11280624385619764, 'shuffle': False, 'weight_decay': 8.122824366868438e-06}
87 97.32 -5.568091162109375 1890.0742645263672 {'batch_size': 64, 'epochs': 46, 'learning_rate': 2.3271548849798937e-05, 'momentum': 0.586518526806177, 'shuffle': False, 'weight_decay': 9.18289594375595e-06}
88 99.4 -9.876839453125 1066.9114608764648 {'batch_size': 256, 'epochs': 31, 'learning_rate': 0.03462103494736655, 'momentum': 0.6524178750536233, 'shuffle': True, 'weight_decay': 0.0006309061526019284}
89 99.37 -10.43553095703125 2165.0758481025696 {'batch_size': 8, 'epochs': 20, 'learning_rate': 0.002458759991056142, 'momentum': 0.2866528711983688, 'shuffle': True, 'weight_decay': 0.00018060944507340026}
90 98.94 -7.6294916015625 1579.837372303009 {'batch_size': 4, 'epochs': 8, 'learning_rate': 3.542066120011039e-05, 'momentum': 0.4098421423590053, 'shuffle': True, 'weight_decay': 1.1771669425579658e-05}
91 99.1 -9.56734453125 9798.020596981049 {'batch_size': 4, 'epochs': 50, 'learning_rate': 0.0002456993356132103, 'momentum': 0.570165180365247, 'shuffle': True, 'weight_decay': 2.1493901286416694e-05}
92 99.42 -7.361510888671875 1279.8718733787537 {'batch_size': 8, 'epochs': 12, 'learning_rate': 0.013224253109634067, 'momentum': 0.00799211859966853, 'shuffle': False, 'weight_decay': 0.002663594959002005}
93 99.69 -12.79617734375 1538.9337685108185 {'batch_size': 32, 'epochs': 29, 'learning_rate': 0.023334398731624056, 'momentum': 0.22252073855700705, 'shuffle': True, 'weight_decay': 0.00013921166550424552}
94 99.39 -12.6553013671875 6030.690349340439 {'batch_size': 4, 'epochs': 31, 'learning_rate': 0.0028138961994060912, 'momentum': 0.423432978900535, 'shuffle': False, 'weight_decay': 7.78552181513811e-06}
95 99.06 -8.52986123046875 533.2391407489777 {'batch_size': 64, 'epochs': 13, 'learning_rate': 0.0012100342748046402, 'momentum': 0.23008508025799612, 'shuffle': True, 'weight_decay': 0.00013549820243046688}
96 99.13 -8.8179439453125 2019.803573846817 {'batch_size': 16, 'epochs': 24, 'learning_rate': 0.0288703496161695, 'momentum': 0.027231364726129637, 'shuffle': True, 'weight_decay': 0.0006722287459486156}
97 99.34 -10.8360025390625 5175.7493724823 {'batch_size': 8, 'epochs': 49, 'learning_rate': 0.00017209526694981795, 'momentum': 0.2845810090286316, 'shuffle': False, 'weight_decay': 9.001709006440925e-06}
98 22.26 -0.14608932800292967 84.15864729881287 {'batch_size': 16, 'epochs': 1, 'learning_rate': 5.1186958974370085e-06, 'momentum': 0.773206401600497, 'shuffle': True, 'weight_decay': 2.989790423187476e-06}
99 98.26 -7.8195185546875 13539.468211650848 {'batch_size': 2, 'epochs': 37, 'learning_rate': 0.014445761041936421, 'momentum': 0.7340626048404454, 'shuffle': True, 'weight_decay': 0.0017068676739804857}
100 96.29 -5.268432470703125 1168.6155161857605 {'batch_size': 256, 'epochs': 34, 'learning_rate': 0.00011487671076244837, 'momentum': 0.5263824674842963, 'shuffle': True, 'weight_decay': 1.0444205893399789e-06}
101 9.58 -0.0018600101232528687 18699.70648241043 {'batch_size': 2, 'epochs': 48, 'learning_rate': 0.08360612078104698, 'momentum': 0.0013303956782592108, 'shuffle': False, 'weight_decay': 0.0021656459148909468}
102 79.78 -5.109354150390625 15387.860230922699 {'batch_size': 1, 'epochs': 20, 'learning_rate': 0.00020559199278918146, 'momentum': 0.3102066198791583, 'shuffle': False, 'weight_decay': 0.00020651783533691956}
103 99.47 -10.1920439453125 509.462069272995 {'batch_size': 128, 'epochs': 13, 'learning_rate': 0.011151808470419822, 'momentum': 0.05389337858283694, 'shuffle': True, 'weight_decay': 0.00022319529764803912}
104 99.52 -11.56590791015625 376.30497312545776 {'batch_size': 32, 'epochs': 7, 'learning_rate': 0.00819109667096125, 'momentum': 0.42948297633584265, 'shuffle': True, 'weight_decay': 5.531296873910416e-06}
105 86.45 -7.825921240234375 12988.899298906326 {'batch_size': 1, 'epochs': 17, 'learning_rate': 0.017830972625839544, 'momentum': 0.649545379770449, 'shuffle': True, 'weight_decay': 0.00013885456942705547}
106 98.12 -6.53343701171875 939.6764514446259 {'batch_size': 128, 'epochs': 24, 'learning_rate': 0.0003135470698799653, 'momentum': 0.1241641555134938, 'shuffle': False, 'weight_decay': 0.0009020712582843059}
107 84.45 -5.900596044921875 28492.536422491074 {'batch_size': 1, 'epochs': 38, 'learning_rate': 0.0006561592314169809, 'momentum': 0.22526441436875844, 'shuffle': True, 'weight_decay': 3.4784297850371596e-05}
108 99.53 -9.8829861328125 5045.241361141205 {'batch_size': 8, 'epochs': 46, 'learning_rate': 0.00035489463915161805, 'momentum': 0.6118461648308805, 'shuffle': True, 'weight_decay': 0.0005558605222328076}
109 99.25 -8.69464560546875 1316.4302275180817 {'batch_size': 64, 'epochs': 32, 'learning_rate': 0.0003098081632404893, 'momentum': 0.5023694946957323, 'shuffle': False, 'weight_decay': 0.001258388254513634}
110 86.3 -3.406038330078125 30244.727234363556 {'batch_size': 1, 'epochs': 41, 'learning_rate': 4.332184085968854e-05, 'momentum': 0.9556002215503347, 'shuffle': True, 'weight_decay': 0.0005223507349321748}
111 98.73 -7.51203125 595.2309505939484 {'batch_size': 16, 'epochs': 7, 'learning_rate': 3.2281020422005705e-05, 'momentum': 0.8539064583872442, 'shuffle': True, 'weight_decay': 1.5181029269867436e-05}
112 99.57 -9.5052185546875 3064.1756575107574 {'batch_size': 16, 'epochs': 36, 'learning_rate': 3.711968127207754e-05, 'momentum': 0.8500931194102556, 'shuffle': True, 'weight_decay': 0.0012815000718576252}
113 60.27 -1.444264892578125 375.34696412086487 {'batch_size': 32, 'epochs': 7, 'learning_rate': 4.346681644542704e-06, 'momentum': 0.9044443997479494, 'shuffle': False, 'weight_decay': 3.2412381122273294e-06}
114 99.58 -17.899019140625 4779.4212765693665 {'batch_size': 8, 'epochs': 44, 'learning_rate': 0.04260090402177751, 'momentum': 0.4884131776506436, 'shuffle': True, 'weight_decay': 1.0905581001074851e-06}
115 99.37 -8.90452978515625 2958.3558428287506 {'batch_size': 4, 'epochs': 15, 'learning_rate': 7.199171134778427e-05, 'momentum': 0.5584901912272032, 'shuffle': True, 'weight_decay': 0.0008156180888407958}
116 99.45 -18.5791728515625 1546.9171359539032 {'batch_size': 32, 'epochs': 29, 'learning_rate': 0.09017734283624085, 'momentum': 0.5069756584550278, 'shuffle': True, 'weight_decay': 1.0232129485970798e-06}
117 63.41 -1.1858365478515625 10906.62046122551 {'batch_size': 1, 'epochs': 15, 'learning_rate': 1.4282639780492693e-05, 'momentum': 0.8853034007602604, 'shuffle': False, 'weight_decay': 0.009096301271473409}
118 53.57 -0.8154113159179688 4324.383366346359 {'batch_size': 1, 'epochs': 6, 'learning_rate': 9.601452233265457e-06, 'momentum': 0.3096661635410072, 'shuffle': False, 'weight_decay': 0.00036787668060076216}
119 99.27 -9.38220205078125 1759.917473077774 {'batch_size': 4, 'epochs': 9, 'learning_rate': 0.03383465343873391, 'momentum': 0.060797771455880945, 'shuffle': True, 'weight_decay': 0.0003336767549128834}
120 99.26 -14.7189787109375 743.3483626842499 {'batch_size': 128, 'epochs': 19, 'learning_rate': 0.09647143329762951, 'momentum': 0.5655250584866289, 'shuffle': True, 'weight_decay': 6.934884882255513e-05}
121 9.58 -0.001075325408577919 7817.725369691849 {'batch_size': 4, 'epochs': 40, 'learning_rate': 0.0903747319263724, 'momentum': 0.8078427475090664, 'shuffle': False, 'weight_decay': 0.002092726882678989}
122 98.17 -6.419256787109375 575.3744745254517 {'batch_size': 64, 'epochs': 14, 'learning_rate': 0.00018136961873738052, 'momentum': 0.4080652648079488, 'shuffle': True, 'weight_decay': 0.005445469184645569}
123 99.29 -7.36368515625 2345.0156359672546 {'batch_size': 4, 'epochs': 12, 'learning_rate': 0.0005709181441858977, 'momentum': 0.7194689697855631, 'shuffle': False, 'weight_decay': 0.0013185938554989881}
124 99.59 -12.46495927734375 18557.567100524902 {'batch_size': 2, 'epochs': 50, 'learning_rate': 0.0008945874652755312, 'momentum': 0.5604160084180974, 'shuffle': True, 'weight_decay': 1.2472606616745805e-05}
125 99.0 -7.624558984375 1969.469979763031 {'batch_size': 4, 'epochs': 10, 'learning_rate': 0.014313717456283761, 'momentum': 0.04146365919027584, 'shuffle': True, 'weight_decay': 0.0014261855348164836}
126 50.57 -1.0208432250976562 2009.9922695159912 {'batch_size': 64, 'epochs': 49, 'learning_rate': 1.0601305157622277e-05, 'momentum': 0.13430412199704767, 'shuffle': False, 'weight_decay': 0.000979288104229258}
127 85.14 -3.02455087890625 97.27573776245117 {'batch_size': 512, 'epochs': 3, 'learning_rate': 0.0009389908022634114, 'momentum': 0.6903532353996533, 'shuffle': False, 'weight_decay': 0.00016165737217192173}
128 99.51 -14.5014951171875 8993.277524709702 {'batch_size': 4, 'epochs': 45, 'learning_rate': 0.017351341337398025, 'momentum': 0.3803830149888503, 'shuffle': True, 'weight_decay': 9.030199368515732e-06}
